item_code,part_name,material,percent
200000,exterior,algodon,1.0
200001,exterior,algodon,1.0
200002,exterior,viscosa,0.62
200002,exterior,fibra metalizada,0.37
200002,exterior,elastano,0.01
200003,exterior,viscosa,1.0
200004,exterior,poliester,1.0
200005,exterior,poliester,1.0
200006,forro,poliester,1.0
200007,exterior,poliester,1.0
200008,exterior,lino,1.0
200009,exterior,lino,1.0
200010,exterior,lino,1.0
200011,exterior,viscosa,1.0
200012,exterior,viscosa,1.0
200013,exterior,viscosa,1.0
200014,exterior,poliester,1.0
200015,exterior,viscosa,1.0
200016,exterior,viscosa,1.0
200017,exterior,algodon,1.0
200018,exterior,algodon,1.0
200019,exterior,viscosa,0.52
200019,exterior,poliester,0.42
200019,exterior,elastano,0.06
200020,exterior,poliester,1.0
200021,exterior,algodon,1.0
200022,exterior,poliester,1.0
200023,exterior,poliester,1.0
200024,exterior,poliester,1.0
200024,forro,poliester,1.0
200026,exterior,poliester,1.0
200027,exterior,poliester,1.0
200028,exterior,poliester,1.0
200029,exterior,poliester,1.0
200030,exterior,poliester,1.0
200031,exterior,poliester,1.0
200032,exterior,poliester,1.0
200033,exterior,liocel,0.97
200033,exterior,poliester,0.03
200034,exterior,liocel,0.79
200034,exterior,poliamida,0.18
200034,exterior,elastano,0.03
200035,exterior,viscosa,1.0
200037,exterior,poliester,1.0
200039,exterior,liocel,0.74
200039,exterior,nailon,0.26
200040,exterior,poliester,1.0
200041,exterior,viscosa,1.0
200042,exterior,poliester,0.97
200042,exterior,elastano,0.03
200043,exterior,poliester,1.0
200044,exterior,poliester,1.0
200045,exterior,viscosa,0.55
200045,exterior,poliester,0.4
200045,exterior,elastano,0.05
200046,exterior,algodon,1.0
200047,exterior,poliester,0.53
200047,exterior,fibra metalizada,0.47
200048,exterior,poliester,1.0
200049,exterior,viscosa,0.77
200049,exterior,lana,0.19
200049,exterior,poliamida,0.04
200050,exterior,poliester,1.0
200051,exterior,poliester,1.0
200052,exterior,liocel,0.97
200052,exterior,poliester,0.03
200053,exterior,algodon,1.0
200055,exterior,viscosa,1.0
200056,exterior,poliester,1.0
200057,exterior,viscosa,1.0
200058,exterior,poliester,1.0
200059,exterior,poliester,1.0
100000,exterior,viscosa,1.0
100001,exterior,liocel,0.97
100001,exterior,poliester,0.03
100002,exterior,poliester,1.0
100002,forro,poliester,1.0
100003,exterior,viscosa,1.0
100004,exterior,viscosa,1.0
100006,exterior,poliester,1.0
100007,exterior,poliester,1.0
100008,exterior,acrilico,0.58
100008,exterior,poliester,0.3
100008,exterior,nailon,0.12
100009,exterior,viscosa,1.0
100011,exterior,viscosa,1.0
100013,exterior,acrilico,0.59
100013,exterior,poliester,0.3
100013,exterior,nailon,0.11
100014,exterior,poliester,1.0
100015,exterior,viscosa,1.0
100017,exterior,viscosa,1.0
100018,exterior,poliester,1.0
100018,forro,poliester,1.0
100019,exterior,poliester,1.0
100019,forro,poliester,1.0
100021,exterior,poliester,1.0
100022,exterior,algodon,1.0
100024,exterior,algodon,1.0
100025,exterior,liocel,1.0
100026,exterior,poliester,0.71
100026,exterior,viscosa,0.23
100026,exterior,elastano,0.06
100027,exterior,viscosa,1.0
100028,exterior,viscosa,1.0
100029,exterior,poliester,1.0
100029,forro,viscosa,1.0
100030,exterior,viscosa,0.6
100030,exterior,poliester,0.37
100030,exterior,fibra metalizada,0.03
100030,forro,poliester,1.0
100031,exterior,poliester,1.0
100031,forro,poliester,1.0
100032,exterior,algodon,0.59
100032,exterior,poliamida,0.35
100032,exterior,elastano,0.06
100032,forro,poliester,1.0
100033,exterior,poliester,1.0
100034,exterior,poliester,1.0
100035,exterior,viscosa,1.0
100036,exterior,poliester,0.54
100036,exterior,algodon,0.45
100036,exterior,elastano,0.01
100037,exterior,poliester,1.0
100037,forro,poliester,1.0
100038,exterior,viscosa,1.0
100039,exterior,poliester,1.0
100039,forro,poliester,1.0
100040,exterior,viscosa,1.0
100041,exterior,poliester,0.99
100041,exterior,elastano,0.01
100042,exterior,liocel,1.0
100043,forro,poliester,1.0
100044,exterior,viscosa,1.0
100045,exterior,poliester,1.0
100045,forro,poliester,1.0
100046,exterior,viscosa,1.0
100047,exterior,poliester,0.54
100047,exterior,algodon,0.45
100047,exterior,elastano,0.01
100048,exterior,algodon,1.0
100050,exterior,poliester,1.0
100051,exterior,algodon,0.53
100051,exterior,poliester,0.44
100051,exterior,elastano,0.03
100052,exterior,poliester,1.0
100053,exterior,algodon,0.96
100053,exterior,elastano,0.04
100054,exterior,viscosa,1.0
100055,exterior,poliester,0.92
100055,exterior,elastano,0.08
100056,exterior,algodon,1.0
100057,exterior,algodon,0.96
100057,exterior,elastano,0.04
300000,exterior,poliester,0.63
300000,exterior,viscosa,0.33
300000,exterior,elastano,0.04
300001,exterior,poliester,0.63
300001,exterior,viscosa,0.33
300001,exterior,elastano,0.04
300002,exterior,poliester,0.63
300002,exterior,viscosa,0.33
300002,exterior,elastano,0.04
300003,exterior,poliester,0.9
300003,exterior,elastano,0.1
300004,exterior,poliester,1.0
300004,forro,poliester,1.0
300009,exterior,poliester,0.33
300009,exterior,poliamida,0.22
300009,exterior,acrilico,0.21
300009,exterior,lana,0.1
300009,exterior,camello,0.1
300009,exterior,elastano,0.04
300010,exterior,algodon,1.0
300012,exterior,poliester,0.64
300012,exterior,viscosa,0.34
300012,exterior,elastano,0.02
300012,forro,poliester,1.0
300013,exterior,algodon,1.0
300013,forro,poliester,1.0
300014,exterior,poliester,0.64
300014,exterior,viscosa,0.31
300014,exterior,elastano,0.05
300014,forro,poliester,1.0
300015,exterior,algodon,0.7
300015,exterior,poliester,0.3
300016,exterior,algodon,0.7
300016,exterior,poliester,0.3
300017,exterior,algodon,0.7
300017,exterior,poliester,0.3
300021,exterior,poliester,0.66
300021,exterior,viscosa,0.32
300021,exterior,elastano,0.02
300022,exterior,poliester,0.77
300022,exterior,viscosa,0.18
300022,exterior,elastano,0.05
300023,exterior,viscosa,1.0
300024,exterior,poliester,1.0
300025,exterior,poliester,1.0
300026,exterior,algodon,1.0
300026,forro,poliester,1.0
300027,exterior,algodon,1.0
300027,forro,poliester,1.0
300028,exterior,poliester,0.63
300028,exterior,viscosa,0.34
300028,exterior,elastano,0.03
300029,exterior,algodon,1.0
300030,exterior,poliester,0.78
300030,exterior,poliamida,0.22
300032,exterior,poliester,0.98
300032,exterior,elastano,0.02
300032,forro,poliester,1.0
300034,exterior,poliester,0.98
300034,exterior,elastano,0.02
300034,forro,poliester,1.0
300035,exterior,poliester,0.77
300035,exterior,viscosa,0.18
300035,exterior,elastano,0.05
300036,exterior,viscosa,1.0
300037,exterior,viscosa,1.0
300038,exterior,viscosa,1.0
300039,exterior,viscosa,1.0
300040,exterior,viscosa,1.0
300045,exterior,poliester,1.0
300046,exterior,poliester,0.5
300046,exterior,viscosa,0.3
300046,exterior,lana,0.19
300046,exterior,elastano,0.01
300046,forro,viscosa,1.0
300047,exterior,poliester,1.0
300047,forro,poliester,1.0
300048,exterior,viscosa,0.74
300048,exterior,poliamida,0.26
300049,exterior,poliester,1.0
300050,exterior,cupro,1.0
300051,exterior,poliester,0.68
300051,exterior,algodon,0.32
300052,exterior,poliester,1.0
300052,forro,poliester,1.0
300053,exterior,poliester,0.68
300053,exterior,viscosa,0.28
300053,exterior,elastano,0.04
300053,forro,poliester,1.0
300054,exterior,poliester,0.76
300054,exterior,viscosa,0.22
300054,exterior,elastano,0.02
300057,exterior,algodon,1.0
300059,exterior,acrilico,0.33
300059,exterior,algodon,0.3
300059,exterior,poliester,0.25
300059,exterior,viscosa,0.12
400000,exterior,poliester,0.96
400000,exterior,elastano,0.04
400001,exterior,poliester,0.96
400001,exterior,elastano,0.04
400002,exterior,poliester,0.96
400002,exterior,elastano,0.04
400005,exterior,algodon,0.49
400005,exterior,modal,0.48
400005,exterior,elastano,0.03
400005,forro,algodon,1.0
400006,exterior,algodon,0.95
400006,exterior,elastano,0.05
400007,exterior,algodon,0.95
400007,exterior,elastano,0.05
400008,exterior,algodon,0.95
400008,exterior,elastano,0.05
400009,exterior,algodon,0.88
400009,exterior,elastano,0.07
400009,exterior,viscosa,0.05
400010,exterior,algodon,0.88
400010,exterior,elastano,0.07
400010,exterior,viscosa,0.05
400011,exterior,algodon,0.88
400011,exterior,elastano,0.07
400011,exterior,viscosa,0.05
400012,exterior,algodon,1.0
400013,exterior,algodon,1.0
400014,exterior,algodon,1.0
400015,exterior,algodon,1.0
400016,exterior,algodon,1.0
400017,exterior,nailon,0.95
400017,exterior,elastano,0.05
400018,exterior,nailon,0.95
400018,exterior,elastano,0.05
400019,exterior,algodon,0.95
400019,exterior,elastano,0.05
400020,exterior,algodon,0.95
400020,exterior,elastano,0.05
400021,exterior,algodon,0.95
400021,exterior,elastano,0.05
400022,exterior,algodon,0.95
400022,exterior,elastano,0.05
400023,exterior,algodon,0.95
400023,exterior,elastano,0.05
400024,exterior,viscosa,0.49
400024,exterior,poliester,0.28
400024,exterior,poliamida,0.23
400025,exterior,viscosa,0.97
400025,exterior,elastano,0.03
400026,exterior,algodon,0.92
400026,exterior,elastano,0.08
400027,exterior,algodon,0.92
400027,exterior,elastano,0.08
400028,exterior,algodon,0.42
400028,exterior,modal,0.39
400028,exterior,poliester,0.16
400028,exterior,elastano,0.03
400029,exterior,viscosa,0.55
400029,exterior,poliamida,0.25
400029,exterior,poliester,0.2
400030,exterior,poliamida,0.92
400030,exterior,elastano,0.08
400031,exterior,poliamida,0.92
400031,exterior,elastano,0.08
400032,exterior,poliamida,0.92
400032,exterior,elastano,0.08
400033,exterior,viscosa,0.55
400033,exterior,poliamida,0.25
400033,exterior,poliester,0.2
400034,exterior,viscosa,0.55
400034,exterior,poliamida,0.25
400034,exterior,poliester,0.2
400035,exterior,algodon,0.96
400035,exterior,elastano,0.04
400036,exterior,algodon,0.96
400036,exterior,elastano,0.04
400037,exterior,algodon,0.96
400037,exterior,elastano,0.04
400038,exterior,algodon,0.96
400038,exterior,elastano,0.04
400039,exterior,algodon,0.96
400039,exterior,elastano,0.04
400040,exterior,algodon,0.95
400040,exterior,elastano,0.05
400041,exterior,algodon,0.95
400041,exterior,elastano,0.05
400042,exterior,algodon,0.95
400042,exterior,elastano,0.05
400043,exterior,viscosa,0.49
400043,exterior,poliester,0.29
400043,exterior,poliamida,0.22
400044,exterior,viscosa,0.49
400044,exterior,poliester,0.29
400044,exterior,poliamida,0.22
400045,exterior,viscosa,0.74
400045,exterior,poliester,0.22
400045,exterior,elastano,0.04
400046,exterior,viscosa,0.74
400046,exterior,poliester,0.22
400046,exterior,elastano,0.04
400047,exterior,viscosa,0.74
400047,exterior,poliester,0.22
400047,exterior,elastano,0.04
400048,exterior,algodon,1.0
400049,exterior,algodon,1.0
400050,exterior,algodon,1.0
400051,exterior,algodon,1.0
400052,exterior,algodon,1.0
400053,exterior,viscosa,0.49
400053,exterior,poliester,0.46
400053,exterior,elastano,0.05
400054,exterior,viscosa,0.49
400054,exterior,poliester,0.46
400054,exterior,elastano,0.05
400055,exterior,viscosa,0.49
400055,exterior,poliester,0.46
400055,exterior,elastano,0.05
400056,exterior,algodon,1.0
400057,exterior,algodon,0.95
400057,exterior,elastano,0.05
400058,exterior,algodon,0.95
400058,exterior,elastano,0.05
400059,exterior,algodon,0.95
400059,exterior,elastano,0.05
500000,exterior,poliester,0.76
500000,exterior,viscosa,0.17
500000,exterior,elastano,0.07
500001,exterior,poliester,1.0
500003,exterior,poliester,0.64
500003,exterior,viscosa,0.31
500003,exterior,elastano,0.05
500004,exterior,viscosa,0.46
500004,exterior,nailon,0.28
500004,exterior,poliester,0.26
500005,exterior,viscosa,0.46
500005,exterior,nailon,0.28
500005,exterior,poliester,0.26
500006,exterior,poliester,0.64
500006,exterior,viscosa,0.31
500006,exterior,elastano,0.05
500007,forro,poliester,1.0
500010,exterior,viscosa,0.46
500010,exterior,nailon,0.28
500010,exterior,poliester,0.26
500011,exterior,liocel,0.55
500011,exterior,algodon,0.42
500011,exterior,elastano,0.03
500011,forro,algodon,1.0
500012,exterior,poliester,0.74
500012,exterior,viscosa,0.2
500012,exterior,elastano,0.06
500013,exterior,nailon,0.77
500013,exterior,elastano,0.23
500013,forro,nailon,0.77
500013,forro,elastano,0.23
500014,exterior,liocel,0.55
500014,exterior,algodon,0.42
500014,exterior,elastano,0.03
500015,exterior,liocel,0.65
500015,exterior,algodon,0.24
500015,exterior,lino,0.11
500016,exterior,poliester,1.0
500021,exterior,algodon,0.51
500021,exterior,poliester,0.46
500021,exterior,elastano,0.03
500022,exterior,liocel,1.0
500022,forro,algodon,1.0
500023,exterior,poliester,1.0
500024,exterior,poliester,0.62
500024,exterior,viscosa,0.36
500024,exterior,elastano,0.02
500025,exterior,poliester,0.67
500025,exterior,viscosa,0.29
500025,exterior,elastano,0.04
500026,exterior,poliester,0.67
500026,exterior,viscosa,0.31
500026,exterior,elastano,0.02
500027,exterior,poliester,1.0
500028,exterior,liocel,0.55
500028,exterior,algodon,0.42
500028,exterior,elastano,0.03
500028,forro,algodon,1.0
500029,exterior,poliester,0.76
500029,exterior,viscosa,0.17
500029,exterior,elastano,0.07
500030,exterior,poliester,0.76
500030,exterior,viscosa,0.17
500030,exterior,elastano,0.07
500031,exterior,poliester,0.76
500031,exterior,viscosa,0.17
500031,exterior,elastano,0.07
500032,exterior,viscosa,0.75
500032,exterior,poliester,0.22
500032,exterior,elastano,0.03
500033,exterior,algodon,0.35
500033,exterior,poliester,0.31
500033,exterior,viscosa,0.17
500033,exterior,lino,0.15
500033,exterior,elastano,0.02
500034,exterior,poliester,1.0
500035,exterior,viscosa,1.0
500036,exterior,algodon,0.97
500036,exterior,elastano,0.03
500037,exterior,poliester,0.67
500037,exterior,viscosa,0.29
500037,exterior,elastano,0.04
