item_code,item_name,item_desc,join_life,joinlife_title,joinlife_desc,item_price,item_category
200000,camisa popelín,Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones.,Eco-label,JOIN LIFE Care for fiber: 100% algodon organico.,Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas en su cultivo no se utilizan semillas modificadas geneticamente lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo.,19.95,camisa
200001,camisa popelín,Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones.,Eco-label,JOIN LIFE Care for fiber: 100% algodon organico.,Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas en su cultivo no se utilizan semillas modificadas geneticamente lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo.,19.95,camisa
200002,blusa hilo metalizado,Blusa semitransparente de cuello solapa y escote pico. Manga larga acabada en puño. Detalle de pliegues en delantero. Bajo acabado asimetrico.<br/><br/>Este articulo no incluye forro interior.,Not Eco-label,,,39.95,blusa
200003,blusa satinada alamares,Blusa de cuello subido y escote pico. Manga larga. Cierre frontal con botones Detalle de alamares. Vivos combinados a contraste.,Not Eco-label,,,29.95,blusa
200004,blusa estampada cropped,Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones.,Not Eco-label,,,19.95,blusa
200005,blusa estampada cropped,Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones.,Not Eco-label,,,19.95,blusa
200006,blusa estampada terciopelo,Blusa semitransparente de cuello solapa y manga larga acabada en puño. Tejido combinado en terciopelo con aplicacion de tachas. Detalle de hilo metalizado. Cierre frontal con botones.<br/><br/>Este articulo no incluye forro interior.<br/><br/>,Not Eco-label,,,29.95,blusa
200007,blusa satinada estampada,Blusa fluida de cuello solapa y manga larga. Cierre frontal con botones.,Not Eco-label,,,12.99,blusa
200008,blusa lino bolsillos,Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM,Eco-label,JOIN LIFE Care for fiber: 100% lino de cultivo europeo.,Este lino se cultiva de forma natural sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC).,12.99,blusa
200009,blusa lino bolsillos,Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM,Eco-label,JOIN LIFE Care for fiber: 100% lino de cultivo europeo.,Este lino se cultiva de forma natural sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC).,12.99,blusa
200010,blusa lino bolsillos,Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM,Eco-label,JOIN LIFE Care for fiber: 100% lino de cultivo europeo.,Este lino se cultiva de forma natural sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC).,12.99,blusa
200011,blusa satinada bolsillos,Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones.,Not Eco-label,,,15.99,blusa
200012,blusa satinada bolsillos,Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones.,Not Eco-label,,,15.99,blusa
200013,blusa satinada bolsillos,Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones.,Not Eco-label,,,15.99,blusa
200014,blusa satinada estampada,Blusa fluida de cuello solapa y manga larga. Cierre frontal con botones.,Not Eco-label,,,12.99,blusa
200015,blusa cropped nudo,Blusa de escote pico. Manga larga acabada en puño elastico y volantes. Bajo acabado con nudo en delantero. Cierre frontal con botones forrados.,Not Eco-label,,,12.99,blusa
